unix,date,symbol,open,high,low,close,Volume EOS,Volume USD
1595894400,2020-07-28 00:00:00,EOS/USD,2.852,3.08,2.779,3.001,3257753.57,1104174.9
1595808000,2020-07-27 00:00:00,EOS/USD,2.714,2.933,2.646,2.852,3456132.7,1231852.8
1595721600,2020-07-26 00:00:00,EOS/USD,2.731,2.808,2.679,2.714,1637192.83,599034.5
1595635200,2020-07-25 00:00:00,EOS/USD,2.6,2.749,2.594,2.731,1095060.83,406935.9
1595548800,2020-07-24 00:00:00,EOS/USD,2.658,2.658,2.537,2.6,783802.82,300924.4
1595462400,2020-07-23 00:00:00,EOS/USD,2.663,2.693,2.63,2.658,1174261.68,441244.6
1595376000,2020-07-22 00:00:00,EOS/USD,2.623,2.672,2.58,2.663,725780.28,277142.7
1595289600,2020-07-21 00:00:00,EOS/USD,2.564,2.636,2.556,2.623,1237628.75,473639.2
1595203200,2020-07-20 00:00:00,EOS/USD,2.583,2.61,2.536,2.564,785015.08,305498.9
1595116800,2020-07-19 00:00:00,EOS/USD,2.503,2.61,2.472,2.583,1093730.01,428026.1
1595030400,2020-07-18 00:00:00,EOS/USD,2.494,2.521,2.48,2.503,327669.29,130892.4
1594944000,2020-07-17 00:00:00,EOS/USD,2.497,2.519,2.473,2.494,401067.71,160681.7
1594857600,2020-07-16 00:00:00,EOS/USD,2.534,2.6,2.427,2.497,1163542.91,466474.6
1594771200,2020-07-15 00:00:00,EOS/USD,2.56,2.585,2.44,2.534,891289.71,351640.8
1594684800,2020-07-14 00:00:00,EOS/USD,2.552,2.573,2.503,2.56,769716.93,302268.8
1594598400,2020-07-13 00:00:00,EOS/USD,2.614,2.646,2.442,2.552,2002931.64,779464.2
1594512000,2020-07-12 00:00:00,EOS/USD,2.618,2.657,2.563,2.614,1111159.63,424308.7
1594425600,2020-07-11 00:00:00,EOS/USD,2.62,2.639,2.592,2.618,455224.42,173985.9
1594339200,2020-07-10 00:00:00,EOS/USD,2.648,2.649,2.572,2.62,918030.82,351781.8
1594252800,2020-07-09 00:00:00,EOS/USD,2.679,2.725,2.581,2.648,1463820.3,550342.1
1594166400,2020-07-08 00:00:00,EOS/USD,2.556,2.703,2.54,2.679,1718476.88,650058.8
