unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1589414400,2020-05-14 00:00:00,XLM/USD,0.07,0.07075,0.068,0.06928,3192751.28,45895804
1589328000,2020-05-13 00:00:00,XLM/USD,0.07026,0.07136,0.06802,0.07,3910456.49,56094325
1589241600,2020-05-12 00:00:00,XLM/USD,0.06244,0.07065,0.06212,0.07026,6266038.92,92671289
1589155200,2020-05-11 00:00:00,XLM/USD,0.06428,0.06516,0.0605,0.06244,4207874.89,66938628
1589068800,2020-05-10 00:00:00,XLM/USD,0.07142,0.07142,0.06,0.06428,7977287.75,124259538
1588982400,2020-05-09 00:00:00,XLM/USD,0.07255,0.0737,0.07134,0.07142,4326579.81,59770087
1588896000,2020-05-08 00:00:00,XLM/USD,0.07229,0.07465,0.07054,0.07255,6028198.18,83027308
1588809600,2020-05-07 00:00:00,XLM/USD,0.06989,0.07358,0.069,0.07229,4334063.35,60054087
1588723200,2020-05-06 00:00:00,XLM/USD,0.07224,0.07333,0.0697,0.06989,3076106.09,42689665
1588636800,2020-05-05 00:00:00,XLM/USD,0.07347,0.07447,0.071,0.07224,2722131.44,37470805
1588550400,2020-05-04 00:00:00,XLM/USD,0.07317,0.07408,0.06761,0.07347,4978122.75,70262177
1588464000,2020-05-03 00:00:00,XLM/USD,0.07568,0.077,0.07164,0.07317,4142423.87,55953747
1588377600,2020-05-02 00:00:00,XLM/USD,0.07295,0.07636,0.07139,0.07568,4527396.52,61274421
1588291200,2020-05-01 00:00:00,XLM/USD,0.06759,0.0735,0.06759,0.07295,4610332.43,64560608
1588204800,2020-04-30 00:00:00,XLM/USD,0.07231,0.07474,0.06576,0.06759,8218151.22,116548065
1588118400,2020-04-29 00:00:00,XLM/USD,0.06872,0.07386,0.06822,0.07231,8578783.92,120686701
1588032000,2020-04-28 00:00:00,XLM/USD,0.0673,0.0716,0.0665,0.06872,8527164.47,123640608
1587945600,2020-04-27 00:00:00,XLM/USD,0.062,0.06947,0.06128,0.0673,5795438.59,89347440
1587859200,2020-04-26 00:00:00,XLM/USD,0.06183,0.06299,0.06085,0.062,2980305.28,48057727
1587772800,2020-04-25 00:00:00,XLM/USD,0.06122,0.06325,0.06067,0.06183,2956852.02,47507576
1587686400,2020-04-24 00:00:00,XLM/USD,0.06215,0.0662,0.06023,0.06122,6537393.33,103916805
1587600000,2020-04-23 00:00:00,XLM/USD,0.055,0.06703,0.055,0.06215,12368124.27,200561418
1587513600,2020-04-22 00:00:00,XLM/USD,0.05094,0.055,0.05072,0.055,3303545.36,61883700
1587427200,2020-04-21 00:00:00,XLM/USD,0.0495,0.05193,0.04926,0.05094,1749936.76,34611145
1587340800,2020-04-20 00:00:00,XLM/USD,0.04889,0.0533,0.04862,0.0495,3854540.8,75521101
1587254400,2020-04-19 00:00:00,XLM/USD,0.0506,0.05079,0.04831,0.04889,1165305.1,23500774
1587168000,2020-04-18 00:00:00,XLM/USD,0.04866,0.05124,0.04866,0.0506,1623555.76,32425269
1587081600,2020-04-17 00:00:00,XLM/USD,0.04925,0.05,0.04825,0.04866,1152347.26,23543717
1586995200,2020-04-16 00:00:00,XLM/USD,0.04619,0.05,0.04451,0.04925,2785015.13,58263817
1586908800,2020-04-15 00:00:00,XLM/USD,0.04814,0.04875,0.04586,0.04619,1344677.16,28322070
1586822400,2020-04-14 00:00:00,XLM/USD,0.04829,0.04913,0.0476,0.04814,1121644.87,23168272
1586736000,2020-04-13 00:00:00,XLM/USD,0.04898,0.04902,0.04605,0.04829,2298113.34,48588396
1586649600,2020-04-12 00:00:00,XLM/USD,0.04988,0.0516,0.04852,0.04898,1978540.37,39516561
1586563200,2020-04-11 00:00:00,XLM/USD,0.04779,0.04999,0.04756,0.04988,2195881.1,44668245
1586476800,2020-04-10 00:00:00,XLM/USD,0.05214,0.05241,0.04544,0.04779,2887900.18,59554885
1586390400,2020-04-09 00:00:00,XLM/USD,0.05138,0.05262,0.04878,0.05214,2905659.26,56942671
1586304000,2020-04-08 00:00:00,XLM/USD,0.04843,0.05159,0.04813,0.05138,2690986.88,53790860
1586217600,2020-04-07 00:00:00,XLM/USD,0.05,0.05152,0.04733,0.04843,4251657.49,84989066
1586131200,2020-04-06 00:00:00,XLM/USD,0.04358,0.05,0.0435,0.05,5973948.53,125197256
1586044800,2020-04-05 00:00:00,XLM/USD,0.04199,0.04365,0.04151,0.04358,1210333.32,28449153
1585958400,2020-04-04 00:00:00,XLM/USD,0.04142,0.0425,0.04091,0.04199,715698.45,17253175
1585872000,2020-04-03 00:00:00,XLM/USD,0.04129,0.04226,0.04061,0.04142,760885.77,18352722
1585785600,2020-04-02 00:00:00,XLM/USD,0.0409,0.04337,0.04052,0.04129,1327154.36,32004980
1585699200,2020-04-01 00:00:00,XLM/USD,0.04088,0.042,0.03886,0.0409,980907.15,24563224
