unix,date,symbol,open,high,low,close,Volume LIN,Volume USD
1594598400,2020-07-13 00:00:00,LINK/USD,7.366,8.54,6.85,7.163,126059552.97,16411388.07
1594512000,2020-07-12 00:00:00,LINK/USD,6.098,7.4,6.096,7.366,57911491.43,8493405.21
1594425600,2020-07-11 00:00:00,LINK/USD,6.146,6.273,5.933,6.098,12802388.44,2088924.98
1594339200,2020-07-10 00:00:00,LINK/USD,6.083,6.21,5.712,6.146,23585466.44,3951151.01
1594252800,2020-07-09 00:00:00,LINK/USD,6.505,6.509,5.705,6.083,38328279.78,6294326.12
1594166400,2020-07-08 00:00:00,LINK/USD,5.725,6.58,5.606,6.505,58041881.71,9430093.85
1594080000,2020-07-07 00:00:00,LINK/USD,5.364,5.9,5.328,5.725,38242238.07,6778608.65
1593993600,2020-07-06 00:00:00,LINK/USD,4.75,5.555,4.735,5.364,24909537.07,4802275.87
1593907200,2020-07-05 00:00:00,LINK/USD,4.82,4.829,4.62,4.75,4993807.71,1059079.22
1593820800,2020-07-04 00:00:00,LINK/USD,4.738,4.852,4.719,4.82,3726378.84,778015.98
1593734400,2020-07-03 00:00:00,LINK/USD,4.797,4.89,4.705,4.738,10024274.47,2078623.81
1593648000,2020-07-02 00:00:00,LINK/USD,4.71,4.92,4.603,4.797,14221307.24,2983438.65
1593561600,2020-07-01 00:00:00,LINK/USD,4.566,4.73,4.521,4.71,2108236.6,453984.41
1593475200,2020-06-30 00:00:00,LINK/USD,4.618,4.664,4.54,4.566,3976714.61,863830.15
1593388800,2020-06-29 00:00:00,LINK/USD,4.56,4.652,4.421,4.618,6428620.5,1412901.26
1593302400,2020-06-28 00:00:00,LINK/USD,4.403,4.621,4.322,4.56,7833686.87,1739376.58
1593216000,2020-06-27 00:00:00,LINK/USD,4.676,4.691,4.295,4.403,11815269.46,2636712.57
1593129600,2020-06-26 00:00:00,LINK/USD,4.81,4.86,4.63,4.676,9423570.89,1991087.67
1593043200,2020-06-25 00:00:00,LINK/USD,4.707,4.847,4.49,4.81,14680146.75,3114374.79
1592956800,2020-06-24 00:00:00,LINK/USD,4.803,4.94,4.488,4.707,18881415.77,4005246.05
1592870400,2020-06-23 00:00:00,LINK/USD,4.482,4.96,4.424,4.803,29969579.35,6318572.76
1592784000,2020-06-22 00:00:00,LINK/USD,4.178,4.488,4.175,4.482,11893374.15,2727502.15
1592697600,2020-06-21 00:00:00,LINK/USD,4.167,4.2,4.136,4.178,2768108.82,663151.0
1592611200,2020-06-20 00:00:00,LINK/USD,4.093,4.2,4.06,4.167,7967702.1,1923192.03
1592524800,2020-06-19 00:00:00,LINK/USD,4.141,4.176,4.046,4.093,5061186.27,1233566.61
1592438400,2020-06-18 00:00:00,LINK/USD,4.163,4.242,4.091,4.141,8215747.25,1972699.14
1592352000,2020-06-17 00:00:00,LINK/USD,4.05,4.195,3.954,4.163,7940284.99,1943158.1
1592265600,2020-06-16 00:00:00,LINK/USD,3.923,4.11,3.896,4.05,5735001.99,1426229.28
1592179200,2020-06-15 00:00:00,LINK/USD,3.931,3.99,3.648,3.923,15563573.48,4094196.56
1592092800,2020-06-14 00:00:00,LINK/USD,4.107,4.116,3.911,3.931,5452369.47,1365476.26
1592006400,2020-06-13 00:00:00,LINK/USD,4.08,4.13,4.002,4.107,3426636.0,843916.13
1591920000,2020-06-12 00:00:00,LINK/USD,3.954,4.189,3.86,4.08,10584720.11,2602193.25
1591833600,2020-06-11 00:00:00,LINK/USD,4.426,4.456,3.9,3.954,17656472.87,4279195.55
1591747200,2020-06-10 00:00:00,LINK/USD,4.443,4.447,4.343,4.426,5547570.85,1263942.51
1591660800,2020-06-09 00:00:00,LINK/USD,4.48,4.505,4.34,4.443,6682516.65,1506013.29
1591574400,2020-06-08 00:00:00,LINK/USD,4.353,4.48,4.33,4.48,4500044.72,1025098.37
1591488000,2020-06-07 00:00:00,LINK/USD,4.353,4.408,4.212,4.353,4666518.31,1083199.31
