unix,date,symbol,open,high,low,close,Volume ETC,Volume USD
1590451200,2020-05-26 00:00:00,ETC/USD,6.801,6.83,6.53,6.71,1721804.14,257392.81
1590364800,2020-05-25 00:00:00,ETC/USD,6.569,6.932,6.488,6.801,2400749.86,354300.94
1590278400,2020-05-24 00:00:00,ETC/USD,6.562,6.785,6.481,6.569,3808942.65,571562.91
1590192000,2020-05-23 00:00:00,ETC/USD,6.463,6.638,6.387,6.562,1352390.05,207080.62
1590105600,2020-05-22 00:00:00,ETC/USD,6.133,6.615,6.077,6.463,2060728.1,322398.41
1590019200,2020-05-21 00:00:00,ETC/USD,6.459,6.525,5.912,6.133,1826227.07,296020.05
1589932800,2020-05-20 00:00:00,ETC/USD,6.672,6.684,6.229,6.459,1974671.04,304238.56
1589846400,2020-05-19 00:00:00,ETC/USD,6.715,6.73,6.534,6.672,1039046.82,156675.52
1589760000,2020-05-18 00:00:00,ETC/USD,6.66,6.923,6.581,6.715,1993963.96,295315.5
1589673600,2020-05-17 00:00:00,ETC/USD,6.691,6.786,6.501,6.66,1429669.82,213971.47
1589587200,2020-05-16 00:00:00,ETC/USD,6.5,6.855,6.432,6.691,4469667.25,665271.86
1589500800,2020-05-15 00:00:00,ETC/USD,6.274,6.7,6.089,6.5,4518320.04,697677.25
1589414400,2020-05-14 00:00:00,ETC/USD,6.227,6.37,6.089,6.274,1731263.85,277033.21
1589328000,2020-05-13 00:00:00,ETC/USD,6.089,6.284,6.009,6.227,1502727.56,243383.02
1589241600,2020-05-12 00:00:00,ETC/USD,6.012,6.232,5.9,6.089,1677196.25,275377.57
1589155200,2020-05-11 00:00:00,ETC/USD,6.199,6.33,5.618,6.012,3099483.58,517584.75
1589068800,2020-05-10 00:00:00,ETC/USD,7.059,7.059,5.54,6.199,8031371.43,1303197.66
1588982400,2020-05-09 00:00:00,ETC/USD,7.148,7.28,7.01,7.059,2167704.63,302900.23
1588896000,2020-05-08 00:00:00,ETC/USD,7.108,7.335,6.946,7.148,3409210.62,476562.06
1588809600,2020-05-07 00:00:00,ETC/USD,6.851,7.26,6.821,7.108,2781233.67,395287.38
1588723200,2020-05-06 00:00:00,ETC/USD,7.204,7.331,6.801,6.851,2293812.66,320903.75
1588636800,2020-05-05 00:00:00,ETC/USD,7.236,7.5,7.068,7.204,2978845.76,408915.39
1588550400,2020-05-04 00:00:00,ETC/USD,7.221,7.358,6.683,7.236,4497913.28,637648.45
1588464000,2020-05-03 00:00:00,ETC/USD,7.514,7.646,7.026,7.221,7297671.33,996193.32
1588377600,2020-05-02 00:00:00,ETC/USD,6.658,7.675,6.581,7.514,8554327.49,1183858.08
1588291200,2020-05-01 00:00:00,ETC/USD,6.449,6.709,6.442,6.658,1673579.69,253349.66
1588204800,2020-04-30 00:00:00,ETC/USD,6.763,7.0,6.316,6.449,4984293.13,750156.73
1588118400,2020-04-29 00:00:00,ETC/USD,6.183,7.18,6.128,6.763,7582578.56,1137426.75
1588032000,2020-04-28 00:00:00,ETC/USD,6.132,6.211,5.972,6.183,1282805.3,210468.91
1587945600,2020-04-27 00:00:00,ETC/USD,6.249,6.389,5.949,6.132,2692543.27,440406.83
1587859200,2020-04-26 00:00:00,ETC/USD,5.758,6.299,5.73,6.249,5008926.83,825043.14
1587772800,2020-04-25 00:00:00,ETC/USD,5.591,5.869,5.541,5.758,1062850.29,186293.55
1587686400,2020-04-24 00:00:00,ETC/USD,5.599,5.695,5.513,5.591,893611.19,159070.5
1587600000,2020-04-23 00:00:00,ETC/USD,5.384,5.79,5.31,5.599,1746910.81,311653.26
1587513600,2020-04-22 00:00:00,ETC/USD,5.207,5.46,5.168,5.384,541083.55,101314.76
1587427200,2020-04-21 00:00:00,ETC/USD,5.232,5.309,5.138,5.207,557871.92,106916.04
1587340800,2020-04-20 00:00:00,ETC/USD,5.49,5.619,5.166,5.232,1216814.41,225725.43
1587254400,2020-04-19 00:00:00,ETC/USD,5.661,5.719,5.42,5.49,674335.97,121403.61
